a,b,c
95,70,165
12,76,88
55,5,60
4,12,14
30,65,95
78,4,82
72,26,98
92,84,176
90,70,160
54,29,83
58,76,134
36,1,37
98,21,119
90,55,146
36,20,54
98,44,142
14,12,26
49,13,63
45,78,123
34,6,40
94,59,153
69,16,85
49,11,60
71,38,109
81,80,161
47,74,121
25,91,116
9,6,15
85,30,114
11,30,41
13,49,62
36,59,96
21,48,69
46,27,73
86,35,121
90,88,174
78,82,160
22,69,91
94,32,126
21,60,81
49,35,84
82,89,171
72,29,101
88,42,130
99,100,199
8,30,38
5,41,46
52,35,87
9,28,37
73,92,165
41,28,69
84,64,148
51,83,134
59,19,78
34,18,52
32,96,128
72,69,141
34,96,130
75,55,130
75,52,127
47,29,76
18,66,84
64,12,76
97,7,104
15,20,35
81,21,102
88,55,143
77,9,86
50,49,99
77,60,137
68,33,101
71,2,73
88,93,181
15,88,103
69,97,166
35,99,134
83,44,127
15,38,53
56,21,77
59,1,60
93,93,186
34,65,96
65,14,79
81,39,120
82,65,147
78,26,104
20,48,65
70,100,170
68,1,69
77,42,119
63,3,66
15,47,62
40,31,71
8,31,39
73,11,80
94,63,157
9,98,107
69,99,168
17,17,34
85,61,146
