num1,num2,sum
82,60,138
15,49,64
4,35,45
95,82,177
36,89,125
32,72,104
29,29,58
18,88,106
95,42,137
14,99,113
87,100,187
95,8,103
70,30,100
12,5,17
76,41,119
55,52,107
5,35,40
4,9,13
12,28,40
28,73,101
30,92,122
65,41,106
78,28,106
4,84,88
72,64,136
26,51,77
92,83,175
84,59,143
90,19,109
70,34,104
54,18,72
29,32,61
58,96,154
76,72,148
36,69,105
1,34,35
98,96,194
21,75,96
90,55,145
55,75,134
44,52,96
36,47,77
20,29,49
28,18,46
98,66,164
44,64,108
14,12,20
12,97,109
49,7,56
13,15,28
46,20,66
45,81,126
78,21,99
34,88,122
6,55,61
94,77,171
59,9,68
69,50,119
16,49,65
49,77,126
11,60,71
71,68,139
38,33,65
81,71,152
80,2,82
47,88,135
74,93,167
25,15,34
91,88,179
9,69,78
6,97,103
85,35,120
30,99,129
99,83,182
38,44,82
11,15,26
30,38,72
13,56,69
49,21,70
36,59,95
59,1,60
82,93,175
47,93,140
21,34,55
48,65,113
46,98,144
27,23,50
86,65,151
35,14,49
90,81,171
88,39,127
83,82,165
10,65,75
78,78,156
82,26,108
22,20,42
69,48,117
94,98,192
32,21,53
21,70,87
