number1,number2,result
3,1,4
69,3,72
60,11,61
17,43,60
62,70,132
65,96,161
46,70,116
23,88,111
5,32,37
68,43,107
24,93,117
3,64,70
23,15,38
83,58,141
52,14,66
88,19,107
64,43,107
26,89,115
66,93,159
18,89,107
26,72,98
4,31,35
95,75,175
58,71,129
45,43,88
75,12,87
3,51,54
56,91,147
54,33,87
40,43,83
84,34,118
43,26,69
94,33,127
11,47,58
82,65,147
49,41,90
31,22,53
59,32,91
92,63,155
24,0,24
49,31,80
53,24,77
55,37,92
23,81,104
30,5,35
16,63,79
75,0,75
97,12,109
21,4,34
27,77,104
47,55,107
41,44,85
69,48,117
60,26,86
47,94,141
61,5,66
78,0,78
66,35,92
28,18,52
33,77,110
88,11,99
94,94,188
92,26,118
63,91,154
4,59,63
64,53,117
1,83,84
28,29,57
50,27,77
32,61,103
84,80,164
39,58,97
84,52,136
34,45,79
59,97,156
39,70,109
23,75,98
62,60,122
67,1,68
11,52,63
51,38,89
3,90,93
88,82,170
29,17,46
53,56,109
94,4,98
23,3,26
62,99,161
86,4,90
39,61,100
74,99,173
98,12,110
90,97,187
2,45,47
77,22,99
93,42,135
100,59,162
91,78,169
25,64,89
26,2,28
