A,B,C
43,77,120
30,14,44
87,68,155
80,68,148
40,32,80
81,7,88
25,23,48
28,91,119
89,38,127
25,20,45
92,24,116
79,98,177
45,1,46
68,33,107
19,70,89
78,47,125
53,97,162
34,81,115
68,27,95
76,45,121
21,62,83
23,75,98
84,82,166
78,85,163
44,81,125
99,72,171
34,49,78
94,99,193
52,74,126
79,94,173
56,52,108
88,66,154
65,74,139
82,4,86
9,75,84
11,42,53
21,80,101
8,49,57
47,82,129
97,85,182
75,14,89
45,12,57
96,51,147
80,16,78
6,50,56
36,6,42
46,66,112
27,98,136
58,74,132
81,98,179
37,7,44
1,76,77
88,5,93
34,74,108
23,98,121
12,25,37
12,3,15
22,33,55
67,63,130
28,57,85
48,65,113
5,72,77
63,73,136
48,82,130
61,84,145
9,53,62
98,67,165
74,25,106
9,60,69
53,55,108
98,94,192
10,59,69
42,75,117
39,89,128
47,61,108
15,13,28
6,16,22
25,75,100
12,85,97
8,65,73
31,3,34
93,47,140
13,26,39
3,58,61
80,27,107
79,56,132
86,23,109
29,40,69
16,73,89
16,78,94
62,58,120
50,99,149
25,54,79
22,27,49
15,36,51
96,86,182
93,39,132
74,45,119
22,51,73
85,62,147
