a,b,c
996,565,1561
114,801,915
350,982,1332
15,151,166
129,197,326
858,533,1391
276,43,319
413,261,674
297,630,927
75,493,568
636,539,1175
35,270,305
446,252,698
894,255,1149
357,488,845
566,129,1146
990,63,1053
549,242,791
992,674,1666
211,88,299
419,492,911
296,382,678
261,151,-239
69,196,265
719,982,1701
498,395,1592
500,786,1286
935,614,1549
547,184,731
630,219,1320
768,236,1004
65,634,699
856,129,985
791,519,1310
606,451,1057
623,487,1110
921,702,1623
316,604,920
852,957,1809
809,38,847
555,707,1262
779,335,1114
117,491,608
101,144,245
286,907,1193
933,873,1806
652,649,1301
338,187,-53
199,147,346
820,450,1270
986,909,1895
62,78,140
127,707,834
638,176,814
370,1,371
745,725,1470
144,242,386
319,112,431
527,502,1029
464,929,1393
120,870,1239
713,24,737
127,927,1054
950,434,1384
768,343,713
828,727,1555
490,348,838
566,81,647
169,710,879
700,832,1532
342,284,626
466,970,1436
671,843,1514
755,203,958
589,815,1404
547,454,1001
752,637,1389
667,267,934
839,535,1374
766,173,939
960,553,1513
522,276,798
793,742,1535
130,162,292
645,765,1410
91,11,102
582,193,322
243,502,745
179,266,445
561,976,1537
422,889,1311
278,225,503
581,830,1411
183,25,759
954,592,1546
631,249,880
364,857,1221
451,617,1068
371,245,616
906,72,978
262,109,371
458,887,1345
858,45,903
450,178,975
949,532,1481
531,721,1252
555,593,1148
753,819,1572
843,653,1496
351,264,615
11,662,673
467,935,1402
555,694,1249
577,2,579
502,164,666
463,506,969
470,314,784
963,108,1071
872,71,943
856,177,1323
779,592,1371
841,712,1553
385,720,1105
283,135,418
726,605,1331
954,379,1333
784,650,1434
502,704,1900
446,312,758
687,212,899
105,105,210
80,370,450
387,724,1111
135,105,240
92,743,835
147,995,1142
35,453,488
324,358,682
659,209,868
208,121,329
649,267,916
973,646,1619
964,12,976
15,759,774
981,968,1949
287,982,1269
108,149,-86
691,956,1647
901,797,1445
711,576,1287
916,340,1256
662,870,1532
533,593,1126
149,466,615
331,847,1178
57,961,1623
657,275,359
852,539,1391
159,381,540
366,528,894
224,394,618
412,753,929
883,426,1309
144,292,436
703,150,853
969,868,2431
855,424,1279
631,912,1543
183,443,626
878,629,1507
222,369,591
228,582,810
258,565,823
489,125,614
246,121,367
44,754,798
177,831,1008
320,591,911
608,443,1051
322,320,642
913,718,1631
92,857,422
235,177,412
415,312,727
686,286,972
286,203,489
773,602,1375
612,785,1397
186,586,772
854,821,1675
468,296,764
440,34,474
715,721,1436
842,255,1097
143,930,1073
122,978,1100
916,264,1180
144,951,1095
588,610,1198
352,598,950
254,716,970
573,740,1313
312,388,700
447,896,1343
232,951,1183
240,938,1178
418,321,739
558,172,730
734,217,1648
786,850,1636
487,463,950
931,730,1661
309,373,682
469,429,898
950,482,1432
315,830,1145
143,82,225
381,168,549
71,44,115
946,688,2346
98,51,149
120,547,667
18,49,67
259,872,1131
986,794,1780
888,796,1684
193,99,292
222,602,824
943,555,1498
567,593,1160
125,150,275
