a,b,total
654,114,563
250,228,478
104,692,796
558,89,647
32,30,62
238,517,755
574,203,777
718,558,1276
459,603,1062
890,6,896
163,714,877
284,159,443
781,344,1125
389,99,488
352,618,970
44,747,791
127,996,1123
80,565,645
643,633,1276
370,591,961
71,46,117
791,296,1087
875,238,1113
389,284,673
854,373,1227
363,214,577
718,959,1677
73,623,696
546,746,1292
473,388,861
947,655,1602
224,701,925
786,794,1580
841,32,873
410,274,684
935,965,1900
735,322,1057
511,405,916
658,469,1127
142,252,394
551,269,820
438,919,1357
370,224,594
141,521,662
773,48,821
156,642,798
696,432,1128
394,390,784
479,541,1020
566,881,1447
696,738,1434
906,549,1455
787,656,1443
300,445,745
3,976,979
736,269,1005
780,182,962
108,891,999
861,654,1515
203,156,359
165,552,717
944,543,1487
613,331,944
114,951,1065
851,826,1677
59,246,305
969,80,1049
497,835,1332
778,545,1323
131,675,806
562,169,731
893,621,1514
216,951,1167
747,706,1453
319,408,727
665,382,1047
529,462,991
230,65,295
602,567,1169
225,7,232
646,60,706
927,32,959
72,526,598
685,497,1182
135,740,875
584,590,1174
803,484,1287
194,96,290
441,362,803
478,884,1362
689,669,1358
100,62,162
347,819,1166
254,196,450
459,143,602
285,473,758
945,77,1022
882,876,1758
51,667,718
856,15,871
948,771,1719
170,416,586
218,885,1103
60,168,228
399,271,670
803,465,1268
713,980,1693
802,569,1371
498,158,656
222,991,1213
753,555,1308
321,58,379
488,514,1002
543,161,704
520,82,602
70,609,679
882,240,1122
964,911,1875
592,608,167
429,673,1102
535,323,858
209,685,894
244,271,515
687,660,1347
323,951,1274
74,9,83
576,102,678
218,518,736
955,357,1312
900,250,1150
161,448,609
720,309,1029
826,669,1495
683,836,1519
954,679,1633
899,137,1036
911,109,1020
159,278,437
215,734,949
703,649,1352
517,500,1017
929,866,1795
649,433,1082
45,3,48
133,652,785
165,759,924
722,437,1159
114,77,191
707,925,1632
36,854,890
565,151,716
42,315,357
955,815,1770
40,920,960
698,255,953
362,798,1160
895,416,1311
767,158,925
242,885,1127
819,830,1649
422,25,447
946,340,1286
421,821,1242
752,830,1582
163,806,969
391,893,963
227,204,431
471,358,829
814,892,1706
24,675,699
336,285,621
990,791,1781
656,521,1177
863,549,1412
28,118,146
267,182,449
271,39,310
444,353,797
321,446,767
523,118,641
590,194,784
725,446,1895
825,551,1376
962,759,1721
201,372,573
971,680,1651
638,321,959
127,737,864
519,316,835
334,412,746
567,130,697
680,962,1642
766,924,1690
582,308,890
853,0,853
215,440,655
621,670,1291
452,452,904
523,484,1007
982,815,1797
674,86,760
679,648,1327
95,838,933
240,688,928
825,203,1028
47,250,297
625,870,1495
466,424,890
589,199,788
393,506,899
151,671,822
914,768,1682
906,109,1015
224,180,404
712,530,1242
570,255,825
124,467,591
475,683,1158
572,609,1181
773,912,1685
834,736,1570
436,850,1286
456,918,1374
882,486,1368
769,253,1022
283,784,1067
496,641,1137
450,79,529
240,278,518
914,553,1467
154,236,390
156,723,879
424,417,841
477,425,902
852,430,1282
788,598,1386
20,877,897
589,389,978
965,360,1325
399,873,1272
855,429,1284
752,559,1311
919,225,1144
279,446,725
398,344,742
817,414,1231
860,478,1338
637,546,806
606,577,1183
85,658,743
887,472,1359
266,388,654
465,334,799
900,388,1288
974,851,1825
854,83,937
767,552,1319
974,358,1332
70,799,869
41,772,506
204,859,312
244,129,373
117,577,694
476,716,1192
377,171,548
986,765,1751
796,838,1634
318,110,428
951,319,1270
929,981,1910
964,732,1696
606,707,1313
248,104,352
308,870,1178
824,123,947
579,801,1091
438,677,1115
518,663,1181
869,430,1299
108,443,551
650,912,1562
724,156,880
751,534,1285
276,630,906
551,793,1344
446,845,1291
274,330,604
850,957,1807
902,461,1363
475,583,1058
388,344,1742
332,186,518
363,816,1179
286,901,1187
901,282,1183
529,970,1499
247,737,984
568,776,1344
487,661,1148
458,811,602
226,414,640
313,679,992
484,566,1050
435,763,1198
360,719,1079
313,257,570
738,197,935
760,548,1308
706,189,895
756,495,1251
603,1000,1603
611,289,900
852,198,1050
369,183,552
725,546,1271
46,997,1043
299,714,1013
653,889,1542
105,893,582
480,490,970
188,988,1176
963,882,1845
841,66,907
75,590,665
54,155,209
576,971,1547
254,121,375
426,620,1046
633,231,864
389,461,850
304,880,1184
439,312,751
61,624,685
101,970,1071
640,216,856
83,160,243
565,76,641
418,461,879
481,298,590
723,289,1012
464,72,536
946,270,1216
640,603,1243
956,202,1158
557,230,787
930,272,1202
73,61,134
314,609,923
582,943,1525
127,479,606
716,412,1128
512,552,1064
82,612,884
752,330,1082
26,93,119
690,856,1546
601,973,1566
688,841,1529
41,781,822
481,531,1012
938,284,1222
599,446,1045
503,992,1495
356,418,774
686,107,793
337,421,758
295,678,973
833,778,1611
465,90,555
331,118,449
413,885,1298
1,673,674
473,423,896
530,370,900
510,640,1150
52,208,260
134,949,1083
901,715,1616
29,996,1025
818,245,1063
318,564,835
95,230,325
934,116,1050
120,663,783
510,955,1465
521,722,1243
854,494,1348
249,467,716
392,195,587
520,764,1284
884,71,955
808,874,1682
956,806,1762
840,2,842
305,857,1162
675,501,1176
457,551,1008
340,565,905
386,466,852
890,193,1083
244,585,829
876,794,1670
325,762,1087
935,830,1765
679,811,1490
155,507,662
129,514,643
339,890,1229
865,450,1315
932,467,295
419,891,1310
158,76,234
992,271,1263
709,407,1116
872,336,1208
879,546,1425
324,641,965
777,499,1276
36,632,668
646,700,1346
232,764,996
100,778,878
893,102,995
710,306,1016
47,332,379
300,367,667
149,250,399
579,698,1277
174,179,353
891,391,1282
246,509,755
146,237,383
260,470,730
9,920,929
922,294,1216
161,75,236
353,601,954
985,434,1419
467,865,1332
393,873,1266
242,390,632
588,302,890
302,22,324
674,405,1079
579,885,1464
762,996,1241
763,508,1271
924,293,1217
235,621,856
224,651,875
256,694,950
785,675,1460
140,643,783
642,661,1615
451,34,485
749,134,883
302,334,636
179,205,384
552,897,1449
543,513,1056
850,168,1018
844,966,1810
825,302,1127
346,823,1169
986,77,1063
989,231,1220
741,690,1431
990,866,1856
374,92,466
14,270,284
465,377,842
688,268,956
842,653,1495
110,691,801
25,634,659
574,335,909
226,663,889
843,475,1318
309,664,973
143,46,189
311,504,815
240,908,1148
397,464,861
972,760,1732
553,429,982
744,158,902
670,101,771
630,417,1047
286,33,319
222,454,676
241,875,1116
702,376,1078
660,367,1027
282,194,476
971,868,1839
93,678,771
654,611,1265
51,805,856
128,805,933
70,849,919
212,600,812
890,238,1128
151,807,958
2,283,285
148,133,281
817,178,995
887,26,913
366,808,1174
602,331,543
53,129,182
538,116,654
487,459,946
525,607,1132
515,226,741
44,744,788
887,674,1561
469,658,1127
62,490,552
436,702,1138
729,931,1660
920,82,1002
151,67,218
639,648,1287
729,332,1061
611,543,1154
517,619,1136
812,718,1530
670,666,1336
564,738,1302
440,462,902
423,347,770
408,425,833
320,437,757
261,383,644
703,945,1648
93,851,944
442,98,540
381,831,1212
61,600,661
575,337,912
420,362,782
963,768,1731
937,738,1675
294,614,908
106,591,697
158,672,830
867,110,977
569,376,945
285,587,872
439,865,1304
785,838,1623
691,658,1349
623,951,1574
710,273,559
719,780,1499
347,359,1781
146,579,725
71,145,216
995,31,1026
543,220,763
464,349,813
319,738,1057
964,581,1545
904,53,957
772,632,167
278,453,731
497,621,1118
279,220,499
116,353,469
290,694,984
498,539,1037
46,225,271
613,56,617
968,216,1184
782,261,1043
122,7,129
440,179,619
545,720,1265
572,853,1425
362,73,435
759,43,802
470,943,1413
320,589,909
414,726,1140
296,117,413
989,332,1321
970,632,1602
706,941,1647
447,864,1311
446,603,1049
80,405,485
763,347,1110
797,172,969
648,116,764
198,927,1125
359,744,1103
660,834,1494
105,149,254
177,616,793
777,671,1448
974,791,1765
475,772,1247
593,459,1052
903,578,1481
639,330,969
642,323,965
69,480,549
310,815,1125
57,360,417
317,472,789
58,377,435
78,660,738
875,92,967
519,393,912
567,977,1544
917,42,959
829,585,1414
329,619,948
154,980,1134
105,830,935
351,731,1082
661,176,1449
448,449,897
624,162,786
939,289,1228
793,346,1139
53,808,861
342,67,409
571,694,1265
258,741,999
987,928,1915
153,341,494
679,144,823
317,990,1307
678,401,1079
725,960,1685
572,385,957
336,832,1168
719,848,1567
701,934,1635
661,686,1347
370,18,388
184,973,1157
970,784,1754
231,140,371
302,864,1166
519,789,1308
756,904,1660
677,344,1021
632,134,766
157,166,323
709,789,1498
924,169,1093
44,420,464
736,243,979
625,291,916
802,459,1261
244,316,560
803,480,1283
198,376,574
584,451,1035
288,796,1084
540,428,968
836,204,1040
141,893,1034
656,492,1148
567,956,1523
866,528,1394
291,85,376
279,460,739
150,850,1000
969,932,1901
461,905,1366
27,424,451
514,382,896
83,383,466
326,953,1279
731,665,1396
149,140,1878
849,483,1332
142,777,919
459,630,162
19,262,281
153,561,714
623,540,1163
794,295,1089
124,48,172
654,812,1466
64,113,177
511,611,1122
647,527,1174
735,147,882
1,629,630
584,426,1010
684,87,771
369,69,438
557,519,1076
519,567,1788
481,44,525
382,259,641
365,807,1172
246,750,996
106,790,896
774,340,1114
360,559,919
658,179,837
701,475,1176
490,646,1136
138,64,202
966,468,412
44,810,854
42,323,365
527,407,934
556,484,1040
771,662,1433
365,882,1247
886,671,1557
127,818,945
910,409,1319
916,979,1895
997,191,1188
509,376,885
531,273,804
744,434,1178
616,842,1458
300,328,628
335,676,1011
456,617,1073
170,706,876
457,43,500
933,361,1294
445,281,726
810,970,1780
687,652,1339
525,820,1345
163,975,1738
622,694,1316
35,129,164
797,660,1457
392,972,1364
619,157,776
971,379,1350
781,78,859
542,375,917
665,285,950
116,26,142
511,530,1041
575,120,695
266,720,986
626,292,918
502,204,706
873,75,948
920,730,1650
89,829,918
865,327,1192
726,66,792
297,912,1209
161,728,889
717,653,1370
370,520,890
205,811,1016
809,505,1134
586,377,963
564,132,696
88,67,155
734,736,1470
420,787,1207
588,75,663
324,657,981
477,696,1173
131,899,1030
564,655,1219
786,989,1775
514,932,1446
851,127,978
311,168,479
957,726,1683
970,963,1933
290,866,1156
201,650,851
281,128,409
629,546,1175
656,172,828
594,157,751
639,737,1376
345,862,1207
42,845,887
83,46,129
789,590,1379
215,785,1000
632,654,1820
642,558,1200
979,309,1288
824,826,1650
304,464,768
61,161,222
495,475,970
621,147,768
735,326,1061
881,353,1234
133,778,911
575,108,683
477,125,602
253,144,397
297,968,1265
630,428,1058
886,923,1809
335,956,1291
320,194,514
510,527,1037
900,315,1215
92,967,1059
468,989,1457
597,361,576
506,611,1117
669,688,1357
549,8,557
441,137,578
744,374,1118
374,46,420
583,575,1158
566,295,861
516,461,977
286,845,1131
696,625,1321
998,99,1097
813,347,1160
374,773,1147
616,521,1137
41,46,1461
341,823,1164
467,152,619
527,143,670
627,326,953
631,757,1388
607,344,951
521,545,1066
576,306,882
17,377,394
112,426,538
815,920,1735
704,644,971
271,990,1261
995,794,1789
233,738,971
491,174,665
738,634,1372
389,151,540
248,32,280
717,112,829
451,321,772
422,707,1129
513,793,1306
482,893,1375
744,63,807
531,212,743
678,489,1167
321,979,1300
934,545,1479
362,692,1054
738,697,1435
709,270,979
196,980,1176
571,305,876
996,304,1300
721,212,933
500,324,824
573,956,1529
738,280,1018
587,692,1279
917,404,1321
977,791,1768
297,43,340
731,80,811
452,671,1123
490,219,709
551,277,828
712,278,990
630,758,1388
248,51,299
543,231,774
53,102,155
734,483,1217
789,140,1127
951,161,1112
957,901,1858
488,666,1154
987,294,1281
661,60,721
91,667,758
547,756,1303
959,38,997
179,427,606
180,956,1136
856,406,1262
190,959,1149
893,948,1841
38,9,47
617,109,726
343,291,634
656,556,1212
910,961,1871
516,479,995
828,115,943
748,469,1217
735,190,690
809,302,1111
775,197,972
876,654,1530
846,437,1283
88,410,498
189,143,332
958,254,785
241,457,698
976,337,1313
740,586,1338
368,709,1077
683,121,804
163,415,578
945,916,1861
788,318,1106
654,938,1592
376,629,1005
980,136,1116
465,765,1230
382,425,807
934,482,1416
821,680,1501
780,253,1033
610,894,1504
538,457,995
370,79,449
114,63,177
924,517,1441
549,153,702
874,532,1406
696,210,906
500,93,593
456,828,1284
135,525,660
577,59,636
688,826,1514
22,405,427
3,763,766
74,46,120
717,65,782
61,957,1018
956,483,837
184,787,971
656,746,1402
430,383,813
391,459,850
928,386,1314
699,987,1686
552,136,688
356,121,477
550,402,952
745,228,973
774,23,797
474,689,1163
434,544,978
235,253,488
158,282,440
896,742,1638
32,828,860
629,784,1413
910,16,926
68,103,171
457,612,1069
893,49,942
45,411,456
552,222,774
794,57,851
296,239,535
749,589,1338
612,791,1403
328,242,570
146,676,822
423,307,730
570,971,1541
752,933,1685
695,437,1132
48,995,1043
658,687,1345
537,326,863
418,152,570
188,772,960
