A,B,Sum
103,323,426
436,872,1308
861,686,1547
271,792,1063
107,626,733
72,288,360
701,943,1644
21,854,875
615,663,1278
122,962,1084
467,639,1106
215,155,370
331,490,821
459,386,845
88,986,1074
373,785,1170
100,104,204
872,929,1753
664,393,1057
131,811,942
662,246,908
309,176,485
770,39,809
344,477,786
492,682,1174
414,759,1173
806,538,1344
386,867,1253
192,818,1010
956,921,1877
277,408,685
161,525,686
460,828,1288
314,506,820
22,903,925
253,825,1078
748,36,784
857,685,1542
561,20,581
475,321,796
59,776,835
511,512,1023
682,400,1082
476,654,1130
700,972,1672
976,883,1859
783,471,1254
190,143,333
958,92,1050
687,354,1074
958,834,1792
563,800,1363
876,727,1603
567,959,1526
244,854,1098
832,51,883
505,665,1170
131,698,873
485,575,1039
819,190,1009
647,125,772
21,150,171
841,314,1155
167,570,737
274,342,616
388,305,693
601,692,1293
316,682,998
14,838,852
242,783,1025
777,54,874
346,444,790
565,613,1178
898,993,1891
340,264,604
92,53,145
367,572,939
956,620,1576
455,5,460
428,103,499
509,196,705
776,774,1550
943,877,1820
35,992,1027
206,884,1090
81,350,431
932,47,979
562,867,1429
872,823,1695
388,936,1324
2,820,781
390,656,1046
566,269,835
106,370,476
772,636,1408
822,106,928
477,670,1147
703,659,1362
402,657,1059
730,120,850
556,831,1387
162,787,948
202,604,806
958,58,1016
996,951,1947
270,346,616
863,741,1604
816,474,1290
271,117,388
456,830,1286
462,791,1253
727,127,854
252,393,645
702,908,1610
296,641,937
725,58,783
720,634,1354
749,513,1262
338,751,1089
879,802,1681
53,96,149
792,638,1430
922,118,1040
217,560,777
764,601,1365
188,488,676
380,237,617
493,885,1359
41,897,938
157,272,429
15,189,204
813,999,1812
65,704,769
857,447,1304
839,581,1376
521,790,1311
344,861,1205
129,247,376
648,963,1611
472,76,548
63,154,217
139,656,795
499,435,934
593,997,1590
392,86,478
675,697,1372
419,285,704
289,974,1263
379,220,599
773,69,842
490,47,537
231,94,325
41,750,791
28,958,986
135,453,588
201,204,421
840,912,1752
780,218,1045
930,474,1417
33,432,465
48,341,389
503,551,1054
407,612,1019
574,289,863
728,254,982
805,734,1539
99,357,456
684,23,707
872,762,1634
726,522,1248
987,758,1745
547,837,1384
961,100,1061
739,802,1541
613,180,799
943,223,1166
462,906,1368
643,762,1405
769,659,1428
5,442,447
218,608,826
503,769,1225
767,325,1092
398,516,914
871,16,887
795,792,1587
393,336,729
207,759,966
15,258,273
858,497,1305
554,988,1579
892,896,1788
461,160,621
691,475,1166
575,852,1427
864,664,1528
743,908,1651
241,690,931
564,675,1239
96,380,476
900,545,1482
734,929,1663
485,957,1442
407,691,1098
231,427,658
749,613,1340
655,268,923
171,835,1007
541,577,1118
36,417,453
525,168,693
160,842,1002
839,43,882
699,556,1255
243,285,528
86,397,483
796,12,808
578,607,1185
682,302,984
557,898,1455
574,253,871
953,499,1452
646,754,1400
796,35,831
28,727,755
620,849,1469
556,90,646
340,776,1116
798,605,1403
958,922,1880
331,970,1301
640,602,1242
506,418,924
348,115,463
473,617,1090
231,903,1134
190,196,367
225,826,1051
385,501,886
377,626,1003
283,493,754
958,75,1033
633,413,1046
628,376,1004
973,420,1393
745,729,1474
259,277,536
359,761,1120
710,676,1386
456,394,850
411,869,1280
649,457,1106
318,920,1238
677,192,869
225,739,964
819,689,1508
234,99,333
684,548,1232
664,978,1642
975,999,1974
827,96,923
374,664,1038
672,663,1335
608,190,798
472,736,1213
233,37,270
692,780,1472
113,369,482
830,695,1525
497,525,1022
442,279,721
564,217,781
268,867,1135
510,873,1383
807,798,1605
386,273,655
387,881,1268
113,62,175
613,596,1251
625,880,1505
952,729,1681
81,342,423
699,397,1096
113,699,812
2,19,21
642,177,819
220,612,832
566,396,962
855,445,1300
997,233,1230
736,915,1651
225,76,301
385,265,650
403,455,858
638,796,1434
130,718,848
53,735,788
684,384,1068
730,564,1261
672,851,1538
710,506,1216
416,367,783
247,144,391
836,885,1721
439,69,508
203,99,302
184,396,580
123,25,148
401,948,1349
767,891,1639
294,469,763
280,484,764
837,565,1402
884,151,992
610,144,754
198,569,767
982,39,1021
907,109,1016
511,693,1204
752,42,794
144,186,280
609,935,1544
201,398,599
124,223,354
187,634,821
326,133,459
464,163,627
349,215,564
771,733,1504
660,235,895
764,843,1596
955,658,1613
932,751,1683
403,588,991
346,9,355
963,74,1037
511,954,1489
147,492,639
148,913,1061
864,253,1117
711,230,941
820,519,1339
489,174,663
929,653,1582
936,168,1104
640,170,810
551,393,944
338,946,1284
872,795,1667
641,634,1275
779,194,973
988,517,1505
953,29,982
473,165,638
946,422,1368
151,339,484
415,648,1063
990,496,1486
298,365,663
611,833,1444
263,342,605
764,500,1264
144,657,801
346,511,857
624,327,951
572,217,789
881,301,1182
2,132,176
897,804,1701
304,70,374
254,252,506
652,415,1067
453,787,1240
37,445,482
160,876,1036
9,182,191
233,167,400
99,91,190
659,714,1373
816,858,1674
208,531,739
131,39,170
404,126,530
152,451,603
54,173,227
120,653,773
673,754,1427
920,220,1140
628,638,1266
587,58,643
625,660,1285
968,476,1444
420,456,876
422,829,1251
104,895,999
852,361,1214
254,935,1189
227,1,228
112,387,499
510,973,1483
473,348,821
99,190,306
153,505,658
861,191,1052
914,508,1422
896,369,1265
878,409,1287
338,824,1162
706,929,1597
822,934,1756
163,117,280
720,134,854
957,58,1015
681,556,1237
996,685,1681
161,672,833
580,173,753
801,829,1630
398,815,1213
277,149,426
816,80,896
916,886,1802
504,213,717
896,203,1099
392,764,1156
135,229,364
195,676,871
401,227,628
640,659,1299
33,532,565
688,441,1129
460,402,862
955,47,1002
883,233,1116
470,305,775
375,526,901
22,143,165
750,415,1165
670,513,1183
38,373,411
230,566,796
365,886,1251
563,259,822
438,656,1094
776,471,1247
283,953,1236
27,971,981
226,12,238
277,330,607
798,736,1534
609,784,1372
284,968,1252
879,358,1237
960,972,1932
481,408,889
453,668,1121
829,373,1202
816,8,824
659,122,781
516,348,864
547,676,1223
192,90,282
49,648,725
512,698,1210
17,316,333
172,178,350
220,540,760
158,732,890
477,869,1346
46,41,87
373,740,1113
518,704,1222
99,923,1022
892,502,1437
745,959,1704
37,145,182
280,201,481
349,929,1278
497,724,1221
302,461,763
181,732,918
607,752,1316
99,925,1024
700,909,1609
993,558,1551
116,547,663
191,253,444
253,390,643
981,594,1575
928,883,1811
983,256,1239
161,709,870
256,815,1058
323,921,1244
128,450,578
18,10,28
793,824,1617
735,798,1533
566,242,808
570,251,854
