A,B,C
271,835,1106
812,864,1676
792,356,1105
443,136,579
833,501,1334
463,212,675
366,214,580
759,760,1519
327,181,508
278,560,838
658,730,1388
787,262,1049
741,629,1370
179,663,842
675,777,1452
194,230,424
202,666,868
41,423,464
81,116,197
543,445,988
9,894,903
160,242,402
390,445,835
309,894,1203
955,957,1912
764,258,1022
86,859,945
253,32,285
963,651,1614
112,899,1011
141,617,758
830,100,930
855,951,1806
603,293,896
290,477,728
736,520,1256
336,439,775
482,435,917
100,723,803
827,985,1796
380,813,1193
837,213,1050
283,168,404
846,724,1570
329,304,633
573,72,645
472,874,1346
297,47,344
940,722,1662
430,807,1237
364,448,812
851,820,1671
627,624,1251
148,260,408
577,464,1059
445,729,1174
447,93,540
319,421,740
448,191,639
58,334,392
581,460,1041
235,985,1235
33,357,390
799,51,850
510,475,985
207,403,610
358,685,1043
775,212,987
429,376,805
471,710,1181
788,615,1403
613,37,650
822,473,1295
897,337,1234
840,977,1817
718,666,1384
14,818,817
514,488,1002
519,396,892
306,16,322
795,60,852
71,346,416
45,915,960
479,868,1347
305,691,996
734,559,1293
168,947,1138
920,831,1751
447,367,814
937,367,1304
873,111,984
604,508,1112
586,442,1028
520,873,1393
173,959,1132
737,950,1687
433,949,1382
824,912,1736
38,866,904
152,182,334
920,443,1363
522,481,1003
896,508,1404
918,386,1304
802,95,897
370,724,1081
741,510,1251
330,24,354
345,81,426
846,128,974
441,284,725
8,101,109
269,189,458
885,857,1742
365,831,1196
496,808,1304
311,88,399
828,95,923
793,207,1000
655,250,905
729,35,764
239,48,287
226,758,984
554,954,1508
863,164,1027
241,445,686
568,120,688
924,887,1811
415,744,1159
838,857,1695
13,415,428
739,527,1266
81,623,704
96,862,958
704,922,1664
455,682,1137
442,17,459
214,213,427
849,524,1373
447,581,1068
134,520,654
987,780,1784
917,456,1373
831,698,1529
749,423,1172
352,219,571
549,624,1173
179,2,181
934,64,973
704,48,752
71,289,360
264,286,547
127,604,731
880,655,1535
172,745,917
651,444,1095
753,244,1018
710,39,749
115,895,1010
687,989,1676
635,282,917
326,164,490
89,488,577
51,551,602
277,842,1119
165,246,411
660,784,1444
769,495,1264
567,387,954
940,976,1929
110,834,944
555,829,1419
637,339,976
159,1,160
483,723,1206
840,316,1156
485,428,913
222,300,522
905,987,1892
742,650,1392
916,382,1299
934,55,989
113,636,749
283,140,381
261,433,694
247,597,844
584,967,1551
364,721,1085
960,959,1931
400,241,641
107,397,504
792,638,1430
936,142,1078
597,822,1419
859,364,1249
800,314,1114
735,29,780
636,112,748
118,516,634
488,208,696
837,631,1468
607,642,1249
396,837,1219
602,800,1402
539,38,577
289,398,687
919,97,1016
664,631,1295
20,641,661
16,103,119
989,517,1506
382,582,977
846,436,1282
973,65,1038
469,903,1372
656,462,1118
525,975,1500
714,609,1323
663,606,1269
734,40,774
666,932,1598
35,293,328
415,423,838
779,232,1011
580,667,1247
285,498,783
817,477,1294
32,752,784
708,580,1288
203,844,1047
390,963,1353
191,395,586
396,858,1295
137,643,780
310,320,630
422,555,977
940,97,1037
879,581,1460
401,794,1195
271,307,578
375,356,731
693,597,1285
973,594,1567
847,879,1726
556,717,1273
801,904,1705
776,421,1197
