A,B,C
2,1,3.12
4,2,5.86
6,3,9.34
8,4,11.67
10,5,15.42
12,6,17.81
14,7,20.35
16,8,23.92
18,9,25.76
20,10,31.15
22,11,34.42
24,12,36.18
26,13,40.74
28,14,44.16
30,15,46.93
32,16,49.82
34,17,52.47
36,18,56.88
38,19,59.34
40,20,62.15
42,21,65.97
44,22,68.52
46,23,70.91
48,24,74.35
50,25,76.82
52,26,81.16
54,27,84.23
56,28,82.95
58,29,89.34
60,30,93.71
62,31,96.85
64,32,99.62
66,33,94.73
68,34,106.54
70,35,109.87
72,36,111.46
74,37,114.95
76,38,117.72
78,39,122.63
80,40,118.54
82,41,126.47
84,42,128.96
86,43,133.58
88,44,136.91
90,45,139.42
92,46,134.88
94,47,145.17
96,48,148.84
98,49,152.35
100,50,146.92
