A,B,C
921,928,1849
554,604,1158
629,757,1386
552,192,744
195,210,405
400,584,984
256,363,619
950,493,1443
911,363,1274
145,374,519
591,321,912
72,616,688
316,834,1150
183,618,801
928,810,1738
971,124,1095
800,162,948
123,705,848
976,740,1722
517,745,1262
160,238,398
720,484,1204
814,723,1537
642,948,1590
816,592,1408
1000,489,1489
15,998,1013
451,483,934
513,476,989
139,59,198
602,672,1274
634,797,1431
977,21,998
36,647,697
70,233,303
486,862,1348
786,308,1094
763,254,1017
318,590,908
404,961,1365
421,27,448
77,124,201
916,583,1499
516,879,1409
459,718,1177
996,854,1850
82,746,828
363,733,1100
298,328,626
250,35,285
213,177,390
129,272,401
684,459,1143
937,591,1528
744,118,862
699,932,1631
297,116,413
277,423,700
519,107,643
15,86,101
252,418,670
973,962,1935
917,248,1181
78,996,1074
414,409,823
536,963,1499
886,582,1468
484,663,1147
546,749,1295
484,351,835
554,449,1003
751,748,1499
480,503,983
247,927,1174
651,746,1397
128,42,170
670,97,767
298,810,1108
776,586,1362
33,846,879
351,700,1051
505,575,1080
510,86,596
602,736,1338
195,498,693
213,858,1071
859,503,1362
248,45,293
593,844,1437
586,143,729
348,47,395
674,985,1659
679,699,1378
929,398,1327
456,853,1309
297,683,980
973,523,1496
294,435,729
297,448,745
902,717,1619
578,117,690
110,62,172
204,656,860
371,295,666
518,419,931
879,14,893
8,273,281
701,463,1164
434,473,907
996,865,1861
118,659,777
94,332,426
569,658,1227
23,237,260
359,48,407
365,252,617
633,300,933
632,382,1009
561,435,996
586,860,1446
259,476,735
378,47,425
513,306,819
243,900,1143
465,824,1289
677,57,734
923,566,1489
565,341,906
1000,149,1148
437,66,503
773,165,938
503,887,1390
587,556,1143
537,954,1488
481,999,1480
207,89,296
583,552,1135
513,913,1426
845,653,1498
343,409,752
494,619,1113
884,280,1164
979,313,1292
873,509,1382
636,621,1271
890,519,1409
288,978,1266
221,999,1220
587,321,908
242,873,1115
431,679,1110
399,938,1337
934,33,967
802,498,1300
436,401,837
859,959,1818
351,106,457
988,670,1658
251,923,1174
750,698,1440
407,80,487
61,98,159
593,56,649
430,319,749
294,475,769
339,784,1123
421,524,945
336,298,634
817,825,1635
663,629,1292
209,445,654
950,164,1114
980,332,1324
957,936,1893
236,861,1097
13,28,41
622,348,952
748,42,790
600,180,780
187,434,621
469,366,835
400,15,415
801,385,1186
25,99,124
36,825,861
400,290,690
621,981,1602
482,203,685
898,767,1665
37,407,446
341,137,478
993,156,1149
753,94,847
246,635,881
583,825,1408
325,50,375
742,631,1373
929,713,1642
516,919,1435
248,607,855
443,408,851
155,867,1039
624,36,660
969,141,1110
490,665,1155
545,661,1206
304,813,1117
206,942,1148
108,489,597
607,701,1308
238,260,498
227,223,450
281,210,491
941,649,1590
943,966,1909
73,164,237
945,26,971
891,305,1196
56,778,834
585,714,1299
181,13,194
128,740,868
866,339,1205
309,956,1265
339,365,704
815,174,989
394,244,638
986,933,1919
825,265,1090
199,707,906
131,39,170
142,755,897
42,501,543
871,995,1866
416,584,1000
957,277,1234
41,880,921
484,993,1477
247,265,512
898,231,1129
816,403,1234
252,480,732
987,138,1125
158,103,261
530,853,1383
134,764,898
129,163,292
261,893,1154
418,258,676
499,477,976
554,58,614
759,311,1070
450,588,1024
690,592,1292
303,84,387
555,137,692
992,775,1767
33,898,931
248,804,1052
486,406,892
578,267,845
686,226,912
402,682,1084
177,50,227
453,929,1382
579,816,1395
133,296,429
178,419,597
818,139,957
278,426,704
59,939,998
388,993,1377
944,443,1387
569,217,786
288,365,653
103,684,787
614,926,1540
532,481,1013
902,10,912
439,414,853
568,345,914
415,51,466
82,427,509
983,933,1916
131,402,513
172,478,650
89,520,609
287,884,1171
757,856,1613
483,562,1045
253,707,960
774,255,1029
347,343,690
904,223,1127
389,994,1383
503,346,841
722,115,837
938,323,1261
50,538,588
910,818,1728
817,713,1530
388,875,1253
588,410,998
36,598,634
770,899,1669
15,57,72
126,412,538
308,963,1271
426,8,434
101,320,421
602,917,1519
686,721,1407
395,151,546
561,385,946
728,259,987
806,876,1682
379,103,482
947,610,1557
140,158,298
519,983,1502
650,83,733
428,275,703
896,704,1600
102,400,502
695,690,1385
689,418,1107
43,20,63
331,384,715
125,239,383
745,555,1300
468,415,883
86,221,311
185,759,944
210,912,1122
606,588,1194
578,423,1001
413,177,590
373,324,697
200,90,290
610,255,861
998,549,1538
970,657,1627
795,914,1700
410,173,583
293,251,544
375,473,848
660,271,931
940,66,1006
543,342,885
680,828,1508
599,286,885
231,202,450
162,899,1061
154,69,223
148,468,616
266,49,315
911,106,1017
453,821,1274
674,985,1659
