x,y,z
24374,66093,90467
81877,11735,93612
24544,47359,71903
65332,60066,125398
70092,8230,78322
84393,98240,182633
60098,24746,84844
91962,65246,37777
80411,14944,88985
16238,94238,48346
71973,61272,34435
61849,52453,114302
13066,72153,85219
56537,82528,139065
85715,30484,27053
28143,77705,105848
85256,53877,139133
66742,95285,162027
76448,55959,132407
63291,27403,90694
44844,53847,98691
54956,90799,145755
483,66664,67147
24265,12040,36305
53718,67484,121202
30241,36787,67028
64785,40008,104793
27481,79533,107014
85921,75938,161859
70575,63153,133728
63993,10640,74633
24781,48524,73305
47077,77594,124671
58762,77785,136547
77492,54718,73946
97257,45201,66123
54982,65014,119996
25445,9766,35211
23290,21150,44440
1903,84858,86761
91502,32092,123594
21433,51059,72492
98384,29798,128182
62200,37600,99800
83449,83727,167176
55871,63682,119553
31783,85502,117285
8085,71802,79887
16479,54831,71310
42205,55110,97315
52410,17562,69972
80790,42031,14588
18455,67205,52004
37043,59548,96591
83738,47782,131520
57114,6493,63607
88585,19562,108147
17250,52438,69688
32715,95048,127763
52041,53097,71502
49639,39877,89516
91582,95838,187420
47664,68510,116174
89621,81305,170926
29743,37334,67077
77761,64329,142090
58384,97529,155913
50027,1722,51749
62315,54458,116773
31468,13862,45330
44998,13843,58841
88129,62924,151053
20156,84194,104350
91713,84615,176328
6126,12394,18520
8293,71120,79413
54812,75764,130576
70693,98068,168761
43495,77682,121177
12472,12094,24566
19562,54615,74177
52188,73692,125880
49565,34159,83724
31123,70712,101835
8925,60573,69498
66699,88960,155659
64437,92815,157252
17253,75313,92566
53202,15391,68593
59623,1485,61108
39355,27484,66839
40903,29200,70103
40610,55756,96366
12189,9815,22004
23645,87720,111365
69381,87676,157057
74236,33444,107680
91632,38980,44338
15236,6367,21603
65249,635,65884
34766,58606,84717
9155,69620,78775
21753,44409,66162
47722,73643,121365
52823,93901,146724
30902,20771,51673
40431,90640,131071
31299,81874,113173
25996,9893,35889
2898,15348,18246
63549,6905,70454
63383,77314,140697
30133,68911,99044
454,46058,46512
71196,50330,121526
55777,24192,79969
72184,14582,86766
44062,85086,44893
45939,15972,61911
53790,8749,62539
5951,43847,49798
62193,4141,66334
66402,28365,94767
24731,67736,92467
68139,85375,153514
64150,26996,91146
91736,43047,134783
77673,31078,108751
7150,76462,83612
20092,99401,119493
6994,50039,57033
68417,59449,7434
35561,12655,48216
19069,28986,27176
17840,73353,91193
94707,64883,159590
5702,69605,75307
5021,87231,92252
43608,21715,65323
27696,39400,67096
21794,53116,74910
82637,92062,174699
5150,28429,33579
4531,28844,33375
49847,84796,134643
40789,83093,123882
65865,18953,6293
23869,19905,43774
45579,54786,100365
60510,63426,123936
27623,12405,84735
51271,36756,88027
10755,22743,33498
39537,9494,49031
12277,76707,88984
86601,16376,102977
26573,48166,74739
89850,80482,170332
42867,11223,54090
72825,42351,115176
77315,69631,146946
59389,60345,119734
26987,23649,50636
83655,36459,94229
16158,56842,73000
12827,25749,38576
2426,42644,45070
78075,4619,82694
65767,74152,139919
61851,38569,100420
96232,74781,171013
21970,42285,64255
14859,5373,20232
29421,39241,68662
3569,76636,80205
72156,46387,118543
36223,388,36611
79467,97553,177020
68482,1542,70024
77861,78198,156059
95380,38370,133750
24146,56004,72477
67559,96548,164107
5359,58363,63722
20527,75055,95582
2380,38822,41202
84435,85594,170029
12766,44530,57296
40143,46756,86899
97781,49610,147391
80185,5852,86037
92441,60418,152859
12153,71530,83683
2605,54497,57102
43234,77274,120508
91576,85167,176743
69230,31791,101021
81248,91891,173139
81977,76399,158376
16488,74276,90764
18580,24194,42774
56311,65059,121370
40664,62753,103417
14047,63172,77219
66639,42188,108827
43695,45983,89678
68728,58859,127587
17042,71040,88082
97754,83634,181388
22099,24627,46726
48900,21110,70010
76923,82449,159372
33196,21935,55131
51426,46023,97449
42870,37585,80455
11594,47216,58810
49213,44601,93814
54651,50978,105629
91163,77110,41385
63825,77074,140899
76222,98753,174975
69959,91069,88728
32928,50551,83479
83325,83212,166537
36298,60981,97279
31904,5981,37885
86654,50825,137479
45943,1697,47640
58662,44248,102910
75803,75796,151599
757,35452,36209
47389,84519,2609
58844,33221,92065
19858,21878,41736
71704,38531,110235
32013,38739,65518
15232,68514,83746
18416,29842,48258
59975,10257,70232
66056,10843,55605
97753,51168,75486
16335,58401,74736
21157,65097,86254
16674,17645,34319
70429,98465,168894
43061,74656,117717
69477,19020,88497
70866,5136,76002
10978,89964,100942
83356,33936,117292
96182,82026,178208
67676,8465,76141
13056,1170,14226
31451,74604,106055
26967,90797,117764
37567,22620,60187
48857,24232,73089
5138,88399,93537
53903,21197,75100
5475,31830,37305
95606,20457,116063
40760,87352,128112
11615,41065,52680
24975,16306,41281
50755,42415,93170
88448,22317,110765
49336,64130,113466
87779,3062,72974
51895,10973,62868
54838,74682,57480
51817,45068,96885
30790,47821,78611
2336,97163,99499
59747,56190,115937
93133,29044,122177
42975,16830,59805
33855,4961,38816
14004,16221,30225
35056,49945,85001
96925,81987,41030
71480,32050,103530
35188,64255,99443
50121,10357,60478
94599,91733,186332
63547,484,64031
58810,1208,60018
48367,51577,99944
60111,6291,66402
64034,13982,78016
59189,10031,69220
53435,91597,145032
99851,89030,84425
96264,44871,141135
22233,48847,71080
40119,12362,52481
66201,6177,72378
19394,29130,48524
7178,16782,23960
86127,28592,114719
26784,70173,96957
87601,23771,111372
54768,74401,129169
94334,97949,46600
40805,49367,90172
35127,75356,91973
72052,80278,152330
65272,55625,120897
38801,18150,56951
32973,25272,58245
32818,42325,75143
29314,19343,48657
78776,39812,118588
20522,59700,69293
14845,54228,69073
7163,27654,34817
56046,65083,121129
75464,55336,71787
49634,57774,107408
32322,71540,103862
93957,4042,97999
73225,82765,155990
53605,78609,132214
24167,39547,63714
72382,85957,158339
57577,72703,130280
61966,62490,124456
87911,13803,101714
43782,49193,92975
47334,70850,118184
26615,17073,43688
4982,37582,42564
4860,85072,89932
28371,98111,126482
17728,97780,115508
17912,50911,68823
18746,54322,73068
89486,67994,157480
63427,92834,156261
91707,72067,163774
9678,24003,33681
45325,74577,119902
70523,95950,166473
163,69594,69757
72168,20318,92486
55578,26719,82297
87232,50892,35900
65580,96749,11857
17468,65115,82583
12644,16430,29074
71976,55469,127445
84057,27432,111489
53672,73616,127288
43760,75260,119020
79613,34518,114131
22119,83877,105996
27254,30651,57905
41433,92566,133999
276,79266,79542
69252,78760,35616
47801,75654,123455
56818,4517,61335
74298,80029,154327
35414,44581,79995
28564,52782,81346
32090,21014,53104
59474,90219,149693
80,58841,58921
29644,9754,39398
42975,66747,109722
62328,78551,140879
18308,1686,21558
34897,5467,40364
14853,99611,114464
88837,95138,50238
32981,36000,49745
77218,58302,135520
40492,75685,116177
60160,53694,113854
62615,93383,155998
29508,30423,59931
22693,47755,70448
63974,70520,134494
89210,24611,113821
4834,36976,41810
81849,16081,97930
68615,18097,86712
30163,74336,104499
12589,1729,14318
29471,96174,125645
30766,83338,114104
30849,12310,43159
87553,99092,25314
68854,674,69528
1833,65488,67321
88775,42241,131016
83504,31709,115213
40919,28568,69487
85888,84347,170235
35664,46256,81920
18344,78882,97226
39235,35559,74794
21503,4842,26345
36858,22053,58911
89764,82446,172210
43160,14146,57306
94113,46168,140281
26741,82655,109396
31682,34743,66425
87565,79973,167538
43149,50273,93422
51205,75461,126666
74519,46029,120548
90535,14540,105075
85326,61117,146443
74535,11994,86529
19786,98115,117901
19556,37980,57536
61444,47616,109060
83697,59261,142958
32317,61841,94158
42321,52200,94521
10676,66298,76974
46992,22394,69386
18884,4106,22990
53210,85117,138327
12621,74610,87231
45110,31452,76562
10891,33168,67496
66399,4543,70942
5485,17233,22718
46781,70924,117705
42402,3380,45782
13670,80928,84204
61469,21048,82517
98123,84198,182321
7566,50320,79929
83648,88138,171786
87295,59408,146703
21573,37623,78136
16708,61703,46214
51774,43675,95449
25251,33755,59006
55917,22145,78062
78566,52976,131542
40126,85661,125787
4782,13109,17891
7631,34879,64697
11691,3268,14959
88534,30286,118820
