A,B,S
52,73,125
88,145,233
120,250,400
305,190,495
450,320,750
600,155,800
720,280,1000
810,90,900
950,120,1100
333,444,777
125,875,1000
560,230,790
999,500,1499
670,330,1000
240,760,1000
75,225,300
180,620,850
490,510,1000
850,75,925
300,900,1200
615,215,830
780,145,925
525,375,950
410,690,1100
95,905,1000
270,450,750
740,160,900
865,240,1105
530,470,1000
920,80,1000
155,345,500
365,635,1050
480,520,1000
710,290,1000
250,350,700
660,440,1100
890,110,1000
555,555,1110
430,570,950
770,330,1050
620,380,1000
145,855,1000
315,485,900
540,460,1000
830,170,1000
275,725,1000
395,605,900
960,40,1000
515,485,950
680,320,900
