X,Y,sum
847,107,954
223,13,236
598,510,1108
75,605,680
851,645,1496
228,410,638
1000,252,1252
431,850,1281
233,806,1039
421,892,1313
365,605,970
627,218,845
705,559,1264
709,808,1517
26,596,622
505,132,637
579,333,912
483,432,915
602,663,1265
851,488,57
446,1,447
484,329,813
166,586,752
659,339,998
541,732,1273
210,582,792
513,872,1385
609,767,1376
272,107,379
588,893,1481
309,912,1221
523,774,1297
115,510,625
887,443,1330
673,918,1591
93,885,978
73,788,861
522,774,1296
639,492,1131
951,105,1056
14,805,819
47,550,597
720,942,1662
106,719,825
547,316,863
543,389,932
391,1,392
519,988,1507
415,526,941
526,395,921
797,821,1618
675,401,1076
710,944,1654
291,849,1140
61,789,850
935,629,1564
952,466,1418
717,335,1052
338,833,1171
544,209,753
8,12,297
330,28,358
452,706,1158
685,92,777
109,2,111
297,171,468
718,322,1040
596,785,1381
789,139,928
726,53,779
603,590,1193
946,416,1362
686,232,918
848,300,1148
820,188,1008
802,320,1122
360,673,1033
550,609,2
321,608,929
848,103,951
256,932,1188
750,711,1461
817,287,1104
517,15,924
940,685,1625
283,703,986
990,541,1531
374,805,1179
787,662,1449
994,74,1068
722,485,1207
214,478,692
239,348,587
934,715,1649
924,216,1140
16,298,314
746,943,1689
92,585,677
683,969,1652
877,269,1146
10,201,779
357,847,256
771,583,1354
744,383,1127
553,965,1518
750,20,770
811,710,1521
960,110,1070
440,549,989
624,67,691
391,777,1168
607,289,896
384,535,919
576,206,782
229,177,406
770,539,1309
593,32,625
381,198,579
85,772,857
993,190,1183
682,282,964
311,274,585
629,208,837
734,194,443
593,749,1342
429,158,587
134,688,822
500,12,512
323,352,675
423,682,1105
762,125,887
766,276,1042
413,197,610
568,463,1031
132,457,589
709,51,760
933,605,1538
305,438,743
596,321,917
864,486,1350
650,659,1309
93,482,575
63,685,748
593,655,1248
532,749,1281
577,907,1484
764,951,1715
223,687,910
968,634,1602
236,318,554
119,324,443
465,914,1379
598,598,1196
538,35,573
678,27,705
583,1,584
635,834,1469
143,215,358
992,467,1459
689,110,799
316,742,1058
672,80,752
979,470,1449
161,836,997
433,373,806
367,133,500
492,614,1106
129,556,573
205,221,426
43,590,633
983,632,1615
139,875,1014
403,283,686
620,965,1585
346,674,1020
605,986,1591
246,990,1236
310,648,958
483,547,1030
245,923,1168
248,574,822
900,183,1083
739,557,1296
172,406,578
95,328,423
691,712,1403
149,697,846
704,847,1551
257,505,762
328,949,1277
353,704,1057
819,563,1382
882,111,993
931,333,1264
299,479,778
614,94,708
631,203,834
964,8,972
387,381,768
369,163,532
660,869,1529
986,603,1589
953,342,1295
107,763,870
672,678,1350
867,317,1184
602,153,755
754,465,1219
994,573,1567
506,725,1231
133,282,415
495,718,1213
320,337,657
570,203,773
193,273,466
25,917,942
290,730,1020
49,188,237
160,962,1122
975,529,1504
664,301,965
626,813,1439
566,567,1133
63,534,597
423,787,468
636,688,1324
404,124,528
552,155,707
279,25,304
151,739,890
15,321,336
573,30,603
44,421,465
220,915,1135
464,328,792
10,616,626
1000,951,1951
295,835,1130
804,225,1029
411,133,780
337,686,1023
347,534,881
157,750,907
268,808,324
485,428,913
313,586,349
135,472,607
5,482,487
648,436,1084
749,587,1336
768,49,817
206,618,824
856,730,1586
353,93,446
6,85,91
578,164,742
194,639,833
910,866,1776
444,37,481
79,959,1038
32,23,55
488,113,967
