a,b,sum
52,37,89
93,97,190
15,51,66
72,44,116
61,24,85
21,79,100
83,59,140
87,32,119
75,96,171
75,88,163
88,52,145
24,62,86
3,58,61
22,52,72
53,12,65
2,39,41
88,2,90
30,3,39
38,56,94
2,81,83
64,59,117
60,2,62
21,2,23
33,92,125
76,54,122
58,87,145
22,96,120
89,97,180
49,1,50
91,19,106
59,2,61
42,53,95
92,44,136
60,90,150
80,32,112
15,70,85
62,32,94
62,68,129
47,55,102
62,75,137
51,56,112
55,17,67
64,38,102
3,24,27
51,69,126
7,98,105
21,70,91
73,86,159
39,11,50
18,16,34
4,97,101
89,73,162
60,59,119
14,70,84
9,80,89
90,93,192
53,3,56
2,20,22
84,59,143
92,36,128
60,19,79
71,90,161
44,67,111
8,19,27
47,20,67
35,96,131
78,71,149
81,52,133
36,33,69
50,40,90
4,39,43
2,82,84
6,1,9
54,11,67
4,92,97
54,57,111
93,89,188
63,50,113
18,23,41
90,31,124
44,94,137
34,42,76
74,99,173
62,7,69
14,16,30
95,90,185
48,60,108
15,2,27
72,1,73
78,48,126
87,12,99
62,69,131
40,37,77
85,32,117
80,9,85
82,99,181
53,19,72
24,48,72
26,80,106
89,3,92
60,20,80
41,24,65
29,54,83
15,33,48
45,24,78
65,75,140
89,72,161
71,36,107
9,38,47
88,84,172
1,99,100
8,89,97
88,99,187
63,25,88
11,93,104
81,18,99
8,82,90
35,66,101
35,54,98
33,35,68
5,80,85
41,61,102
28,41,69
7,33,40
73,68,141
72,33,105
12,14,26
34,21,51
33,48,81
48,20,68
23,8,31
62,7,69
88,67,155
37,17,54
99,33,132
44,48,92
86,76,162
91,59,150
35,86,131
65,22,87
99,30,129
47,38,85
78,51,129
3,54,57
1,8,11
5,27,32
90,27,117
14,98,112
27,21,48
9,30,39
79,97,176
15,28,43
90,64,154
42,97,131
77,69,139
51,61,112
63,48,111
96,19,122
52,4,58
96,35,135
4,64,68
94,49,143
23,17,40
15,44,59
43,92,128
29,30,59
36,93,129
13,46,59
32,6,38
71,99,170
59,37,96
86,24,110
28,93,121
66,46,112
42,53,95
45,95,140
62,99,161
57,60,125
6,97,103
28,63,91
28,85,111
44,32,72
84,87,172
30,33,63
62,67,129
75,18,93
92,25,117
89,95,187
62,54,116
97,58,155
1,67,68
27,46,73
62,24,86
77,32,109
3,47,57
70,86,156
72,23,95
27,66,97
9,27,36
62,2,64
